,entrez,symbol,gene.name,logFC,logCPM,F,PValue,FDR
ENSMUSG00000063590,434674,Slc22a28,"solute carrier family 22, member 28",1.606638323,3.321176373,25.59622866,8.88E-06,0.003185526
ENSMUSG00000028445,69638,Enho,energy homeostasis associated,1.717612481,2.992612308,25.3542355,9.45E-06,0.003279002
ENSMUSG00000032349,68801,Elovl5,"ELOVL family member 5, elongation of long chain fatty acids (yeast)",-0.893498939,9.970214996,24.79370834,1.01E-05,0.003386557
ENSMUSG00000035441,338367,Myo1d,myosin ID,-0.842300008,3.414520861,24.46587745,1.12E-05,0.003549223
ENSMUSG00000079015,20702,Serpina1c,"serine (or cysteine) peptidase inhibitor, clade A, member 1C",0.911470338,12.91195777,24.39526145,1.15E-05,0.003549223
ENSMUSG00000035031,230558,C8a,"complement component 8, alpha polypeptide",0.762967278,8.280727548,24.38478859,1.15E-05,0.003549223
ENSMUSG00000062181,13909,Ces3b,carboxylesterase 3B,1.406883483,8.595508731,25.24957196,1.23E-05,0.003680495
ENSMUSG00000020102,20503,Slc16a7,"solute carrier family 16 (monocarboxylic acid transporters), member 7",-0.802960107,5.652910765,24.001576,1.31E-05,0.003818701
ENSMUSG00000091867,233005,Cyp2a22,"cytochrome P450, family 2, subfamily a, polypeptide 22",-1.462340413,3.786196144,23.77358225,1.67E-05,0.004726181
ENSMUSG00000032377,235527,Plscr4,phospholipid scramblase 4,-1.198311041,2.327223705,22.96364485,1.87E-05,0.005044747
ENSMUSG00000041698,28248,Slco1a1,"solute carrier organic anion transporter family, member 1a1",2.994208123,7.039025615,24.33719336,1.89E-05,0.005044747
ENSMUSG00000078683,17840,Mup1,major urinary protein 1,2.194478598,12.38025363,24.15219275,1.92E-05,0.005044747
ENSMUSG00000078687,100041687,Mup8,major urinary protein 8,2.155205844,12.30538558,23.89057809,2.09E-05,0.005343199
ENSMUSG00000059060,19363,Rad51b,RAD51 paralog B,-2.343559156,3.8353671,23.6926619,2.15E-05,0.005382835
ENSMUSG00000027048,27413,Abcb11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",0.538586451,7.649052732,22.40222588,2.27E-05,0.005406056
ENSMUSG00000057666,14433,Gapdh,glyceraldehyde-3-phosphate dehydrogenase,-0.698533234,7.409134957,22.32428158,2.33E-05,0.005406056
ENSMUSG00000031489,11556,Adrb3,"adrenergic receptor, beta 3",1.395967387,2.743550787,22.31792572,2.33E-05,0.005406056
ENSMUSG00000073842,100041658,Mup7,major urinary protein 7,2.729500421,12.67529252,23.57014851,2.36E-05,0.005406056
ENSMUSG00000025255,80892,Zfhx4,zinc finger homeodomain 4,0.579246775,4.6226631,22.21888542,2.42E-05,0.005414968
ENSMUSG00000024424,72747,Ttc39c,tetratricopeptide repeat domain 39C,0.878443991,6.884718035,22.25327211,2.57E-05,0.005531357
ENSMUSG00000030131,17837,Mug2,murinoglobulin 2,0.665142739,9.302002601,22.04019397,2.57E-05,0.005531357
ENSMUSG00000030278,14311,Cidec,cell death-inducing DFFA-like effector c,-2.408999014,4.827066387,23.12127551,2.70E-05,0.005700576
ENSMUSG00000049721,53897,Gal3st1,galactose-3-O-sulfotransferase 1,-2.367003958,0.738982814,21.68229463,2.91E-05,0.006026261
ENSMUSG00000062949,320940,Atp11c,"ATPase, class VI, type 11C",0.618396824,6.759058121,21.54993743,3.05E-05,0.006193277
ENSMUSG00000028961,110208,Pgd,phosphogluconate dehydrogenase,-0.838702533,4.952766214,21.11320928,3.56E-05,0.006955163
ENSMUSG00000041324,16323,Inhba,inhibin beta-A,1.398574939,2.819291119,21.07781328,3.60E-05,0.006955163
ENSMUSG00000031298,237175,Adgrg2,adhesion G protein-coupled receptor G2,-1.571722543,1.930647603,20.98638049,3.72E-05,0.006955163
ENSMUSG00000015947,14129,Fcgr1,"Fc receptor, IgG, high affinity I",-1.654655082,1.619641292,20.96658444,3.75E-05,0.006955163
ENSMUSG00000034528,243168,Hsd17b13,hydroxysteroid (17-beta) dehydrogenase 13,-0.675213925,8.696849181,20.86170837,3.89E-05,0.006955163
ENSMUSG00000040123,219105,Zmym5,"zinc finger, MYM-type 5",0.492500772,5.11802558,20.85178,3.90E-05,0.006955163
ENSMUSG00000001763,232670,Tspan33,tetraspanin 33,1.194534214,2.451977913,20.83413176,3.93E-05,0.006955163
ENSMUSG00000078597,13118,Cyp4a12b,"cytochrome P450, family 4, subfamily a, polypeptide 12B",1.428028413,5.987434351,21.67937702,3.94E-05,0.006955163
ENSMUSG00000078673,100048885,Gm2083,major urinary protein LOC100048885,2.019615654,12.69774179,21.76965096,4.08E-05,0.007073463
ENSMUSG00000072115,11727,Ang,"angiogenin, ribonuclease, RNase A family, 5",0.920851442,7.573452035,20.8171577,4.40E-05,0.007446109
ENSMUSG00000003849,18104,Nqo1,"NAD(P)H dehydrogenase, quinone 1",-1.331440261,2.31758866,20.49679936,4.43E-05,0.007446109
ENSMUSG00000096674,100039150,Mup15,major urinary protein 15,2.627393802,12.57183322,21.47275302,4.61E-05,0.007634486
ENSMUSG00000028664,13844,Ephb2,Eph receptor B2,-3.163138686,1.317546639,20.45171421,4.90E-05,0.007933373
ENSMUSG00000017167,53321,Cntnap1,contactin associated protein-like 1,-2.238344752,1.613757257,20.19191295,4.94E-05,0.007933373
ENSMUSG00000026489,67426,Coq8a,coenzyme Q8A,0.652847905,6.622779684,20.10331145,5.10E-05,0.008029984
ENSMUSG00000039457,19041,Ppl,periplakin,-1.408550181,2.53841018,20.07583381,5.15E-05,0.008029984
ENSMUSG00000049103,12772,Ccr2,chemokine (C-C motif) receptor 2,-1.835014227,2.005559608,20.03643837,5.22E-05,0.008029984
ENSMUSG00000045934,194126,Mtmr11,myotubularin related protein 11,-2.737293593,1.897762655,20.30616806,5.45E-05,0.008265258
ENSMUSG00000078686,100038948,Mup9,major urinary protein 9,2.09769528,12.22010623,20.67708593,5.90E-05,0.008811355
ENSMUSG00000021932,67153,Rnaseh2b,"ribonuclease H2, subunit B",-0.829912026,3.100038619,19.55420577,6.22E-05,0.009135575
ENSMUSG00000097328,21944,Tnfsf12,"tumor necrosis factor (ligand) superfamily, member 12",-0.913289152,3.020940221,19.52615923,6.28E-05,0.009135575
ENSMUSG00000022947,109857,Cbr3,carbonyl reductase 3,-2.529516114,1.647250119,19.40063912,7.04E-05,0.010100788
ENSMUSG00000026688,66447,Mgst3,microsomal glutathione S-transferase 3,-1.375947582,3.869670224,19.38336975,7.70E-05,0.010660615
ENSMUSG00000031327,12212,Chic1,cysteine-rich hydrophobic domain 1,1.438505829,2.49626085,18.91118808,7.86E-05,0.010660615
ENSMUSG00000024694,64697,Keg1,kidney expressed gene 1,0.968037571,6.02364209,19.26121365,7.92E-05,0.010660615
ENSMUSG00000073830,100039116,Mup14,major urinary protein 14,1.473630191,13.53666238,19.51505644,8.01E-05,0.010660615
ENSMUSG00000069922,382053,Ces3a,carboxylesterase 3A,0.645640816,10.36182056,18.85715051,8.02E-05,0.010660615
ENSMUSG00000029273,53315,Sult1d1,"sulfotransferase family 1D, member 1",0.557270051,6.32209889,18.85647043,8.02E-05,0.010660615
ENSMUSG00000023232,230779,Serinc2,serine incorporator 2,-0.965723153,3.944637658,18.8066565,8.17E-05,0.010725347
ENSMUSG00000045775,217316,Slc16a5,"solute carrier family 16 (monocarboxylic acid transporters), member 5",-1.120884707,3.446976736,18.73045467,8.41E-05,0.010849324
ENSMUSG00000087385,433752,Frg2f1,FSHD region gene 2 family member 1,0.935019756,2.885685102,18.7100302,8.47E-05,0.010849324
ENSMUSG00000026355,17219,Mcm6,minichromosome maintenance complex component 6,-1.723425397,1.791241146,18.55892249,8.95E-05,0.011085049
ENSMUSG00000026740,13418,Dnajc1,DnaJ heat shock protein family (Hsp40) member C1,0.380520722,6.139677109,18.54473855,9.00E-05,0.011085049
ENSMUSG00000012187,68393,Mogat1,monoacylglycerol O-acyltransferase 1,-1.615712844,2.458884581,18.62191047,9.00E-05,0.011085049
ENSMUSG00000094793,100039054,Mup12,major urinary protein 12,2.646638224,10.80820585,19.43732212,9.07E-05,0.011085049
ENSMUSG00000023176,71756,Cpn2,"carboxypeptidase N, polypeptide 2",0.446262017,7.179158797,18.31556585,9.80E-05,0.011703666
ENSMUSG00000059326,12982,Csf2ra,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",-1.24984045,2.677400325,18.30654246,9.83E-05,0.011703666
ENSMUSG00000040891,15377,Foxa3,forkhead box A3,0.899642841,5.876833497,18.5084881,9.99E-05,0.011703666
ENSMUSG00000006641,330064,Slc5a6,"solute carrier family 5 (sodium-dependent vitamin transporter), member 6",-0.960639088,4.137028331,18.30617985,0.000100059,0.011703666
ENSMUSG00000021208,217845,Ifi27l2b,"interferon, alpha-inducible protein 27 like 2B",-1.853663514,4.26471432,18.83461972,0.00010675,0.012352054
ENSMUSG00000020123,54140,Avpr1a,arginine vasopressin receptor 1A,1.560479128,3.193177452,18.38853887,0.000109247,0.012427281
ENSMUSG00000057880,268860,Abat,4-aminobutyrate aminotransferase,0.477721638,7.077103816,18.01231205,0.00010971,0.012427281
ENSMUSG00000078688,17841,Mup2,major urinary protein 2,1.384744061,13.44491132,18.46453319,0.000114537,0.01283884
ENSMUSG00000061292,100041449,Cyp3a59,"cytochrome P450, family 3, subfamily a, polypeptide 59",-0.875913514,3.523165803,17.8066591,0.000118483,0.013144318
ENSMUSG00000032310,13077,Cyp1a2,"cytochrome P450, family 1, subfamily a, polypeptide 2",0.983040063,9.007504823,18.02510019,0.000124932,0.013673167
ENSMUSG00000025873,76577,Faf2,Fas associated factor family member 2,0.421154964,5.075209281,17.64719073,0.000125792,0.013673167
ENSMUSG00000019066,19340,Rab3d,"RAB3D, member RAS oncogene family",-1.092581178,3.164745991,17.61774609,0.000127192,0.013687131
ENSMUSG00000066366,20700,Serpina1a,"serine (or cysteine) peptidase inhibitor, clade A, member 1A",0.808726462,12.0265698,17.58922489,0.000128564,0.013697801
ENSMUSG00000032418,17436,Me1,"malic enzyme 1, NADP(+)-dependent, cytosolic",-0.965034168,7.437340394,17.84343058,0.000134006,0.014137658
ENSMUSG00000089873,100039089,Mup13,major urinary protein 13,1.374207237,13.58533672,17.92262404,0.000139043,0.014526573
ENSMUSG00000030545,18631,Pex11a,peroxisomal biogenesis factor 11 alpha,-0.7303616,8.555508665,17.36080062,0.00014135,0.014625204
ENSMUSG00000091780,100126824,Sco2,SCO2 cytochrome c oxidase assembly protein,0.698779594,6.082979854,17.29668303,0.000143568,0.014625204
ENSMUSG00000078680,100039008,Mup10,major urinary protein 10,1.282990449,13.66342533,17.73327554,0.000144833,0.014625204
ENSMUSG00000027750,50706,Postn,"periostin, osteoblast specific factor",-1.331010343,1.990159877,17.24375367,0.000146474,0.014625204
ENSMUSG00000026272,11611,Agxt,alanine-glyoxylate aminotransferase,0.74081398,6.795166517,17.30342929,0.00014726,0.014625204
ENSMUSG00000056035,13112,Cyp3a11,"cytochrome P450, family 3, subfamily a, polypeptide 11",-1.586303577,8.893964523,17.94623117,0.000148141,0.014625204
ENSMUSG00000026950,17996,Neb,nebulin,0.946475865,5.012257848,17.29416686,0.00015623,0.015283527
ENSMUSG00000021876,58809,Rnase4,"ribonuclease, RNase A family 4",0.758150284,9.569396532,17.08544967,0.000157959,0.015313472
ENSMUSG00000052062,72823,Pard3b,par-3 family cell polarity regulator beta,0.704108136,3.593208943,16.99218693,0.000161152,0.015449355
ENSMUSG00000024986,15242,Hhex,hematopoietically expressed homeobox,0.863983598,5.520399066,17.15576185,0.000162232,0.015449355
ENSMUSG00000029822,71720,Osbpl3,oxysterol binding protein-like 3,-1.406167624,4.561639922,17.49512584,0.000163949,0.015475919
ENSMUSG00000031443,14068,F7,coagulation factor VII,0.676391566,6.165152853,16.90123871,0.000166832,0.015611161
ENSMUSG00000022090,213019,Pdlim2,PDZ and LIM domain 2,-1.466044096,2.104519576,16.86048122,0.000169446,0.015637486
ENSMUSG00000066153,381531,Mup21,major urinary protein 21,1.147806893,7.037077295,17.40211834,0.00017002,0.015637486
ENSMUSG00000028359,18407,Orm3,orosomucoid 3,-1.240902763,3.460931869,16.92935948,0.000177172,0.016033447
ENSMUSG00000026426,68724,Arl8a,ADP-ribosylation factor-like 8A,-0.899203179,3.108889833,16.74176498,0.000177305,0.016033447
ENSMUSG00000074272,26365,Ceacam1,carcinoembryonic antigen-related cell adhesion molecule 1,0.407527564,6.695200711,16.70849505,0.000179576,0.016103449
ENSMUSG00000040583,13089,Cyp2b13,"cytochrome P450, family 2, subfamily b, polypeptide 13",-2.971683448,1.64112562,18.06987553,0.000183263,0.016164134
ENSMUSG00000070348,12443,Ccnd1,cyclin D1,-1.079570694,5.905098632,17.06455883,0.000185398,0.016164134
ENSMUSG00000020458,68585,Rtn4,reticulon 4,-0.634046355,6.450237883,16.62151439,0.000185657,0.016164134
ENSMUSG00000021094,66375,Dhrs7,dehydrogenase/reductase (SDR family) member 7,-0.587764225,5.242881033,16.61304639,0.000186261,0.016164134
ENSMUSG00000032802,76650,Srxn1,sulfiredoxin 1 homolog (S. cerevisiae),-0.731840998,5.524649865,16.5492554,0.000190874,0.016167414
ENSMUSG00000039601,53901,Rcan2,regulator of calcineurin 2,-1.039836924,3.020048187,16.5399659,0.000191556,0.016167414
ENSMUSG00000020053,16000,Igf1,insulin-like growth factor 1,0.38624842,9.415661861,16.53307784,0.000192063,0.016167414
ENSMUSG00000031838,65972,Ifi30,interferon gamma inducible protein 30,-0.842876117,4.961926493,16.61165038,0.000192308,0.016167414
ENSMUSG00000060613,226105,Cyp2c70,"cytochrome P450, family 2, subfamily c, polypeptide 70",0.89265012,7.267676336,16.77781492,0.000196202,0.016342931
ENSMUSG00000110439,100861909,Mup22,major urinary protein 22,1.268014032,13.6998785,16.89099594,0.000197555,0.016342931
ENSMUSG00000049109,210757,Themis,thymocyte selection associated,-1.283506004,3.359701475,16.63250661,0.000198952,0.016342931
ENSMUSG00000027207,69976,Galk2,galactokinase 2,-0.914634009,3.092093064,16.41239547,0.000201181,0.016400798
ENSMUSG00000067225,404195,Cyp2c54,"cytochrome P450, family 2, subfamily c, polypeptide 54",1.956719523,6.925202881,17.09404404,0.000204457,0.016542566
ENSMUSG00000032420,23959,Nt5e,"5' nucleotidase, ecto",-1.479395502,2.434991785,16.28230035,0.000214615,0.017195511
ENSMUSG00000037405,15894,Icam1,intercellular adhesion molecule 1,-1.077349037,3.462152703,16.26845882,0.000215723,0.017195511
ENSMUSG00000054428,11983,Atpif1,ATPase inhibitory factor 1,-0.516961894,5.350633141,16.11881419,0.000225312,0.017804982
ENSMUSG00000063450,319565,Syne2,"spectrin repeat containing, nuclear envelope 2",0.596729517,4.91701226,16.09260461,0.000227609,0.017804982
ENSMUSG00000004207,19156,Psap,prosaposin,-0.496628156,8.93901443,16.08440671,0.000228333,0.017804982
ENSMUSG00000067235,15007,H2-Q10,"histocompatibility 2, Q region locus 10",-0.376742175,10.68721385,15.95878906,0.000239728,0.018559074
ENSMUSG00000050359,20753,Sprr1a,small proline-rich protein 1A,-4.067421919,1.63987189,16.40598066,0.000245411,0.018863361
ENSMUSG00000066829,235050,Zfp810,zinc finger protein 810,-1.538877561,1.735761266,15.86686663,0.000248444,0.018961033
ENSMUSG00000031906,58994,Smpd3,"sphingomyelin phosphodiesterase 3, neutral",-1.977397756,1.660699565,15.72541381,0.000262513,0.019893656
ENSMUSG00000042390,229542,Gatad2b,GATA zinc finger domain containing 2B,0.42110511,5.530538151,15.63714323,0.000271714,0.02044695
ENSMUSG00000056071,20202,S100a9,S100 calcium binding protein A9 (calgranulin B),-1.464073214,1.654545771,15.61138645,0.000274462,0.020510332
ENSMUSG00000049421,26466,Zfp260,zinc finger protein 260,0.51044497,4.297441594,15.57918551,0.000277939,0.020626921
ENSMUSG00000073834,100039028,Mup11,major urinary protein 11,1.811247647,11.99437994,16.08620223,0.000290584,0.021417651
ENSMUSG00000041333,17843,Mup4,major urinary protein 4,1.222096866,6.929871543,15.90837224,0.000300212,0.021976732
ENSMUSG00000078612,242594,Fyb2,FYN binding protein 2,-1.285312917,2.101256714,15.24921249,0.000316356,0.022898693
ENSMUSG00000022856,66664,Tmem41a,transmembrane protein 41a,-0.781361093,3.86129255,15.24328873,0.000317094,0.022898693
ENSMUSG00000026638,54139,Irf6,interferon regulatory factor 6,0.715549527,3.950258764,15.22655881,0.00031919,0.022898693
ENSMUSG00000068877,20342,Selenbp2,selenium binding protein 2,1.038740076,7.180938302,15.60686006,0.000324687,0.023104489
ENSMUSG00000042102,74129,Dmgdh,dimethylglycine dehydrogenase precursor,0.547431229,7.695339968,15.16707577,0.00032676,0.023104489
ENSMUSG00000054823,234135,Nsd3,nuclear receptor binding SET domain protein 3,0.497495754,6.054747883,15.15360935,0.0003285,0.023104489
ENSMUSG00000024292,64385,Cyp4f14,"cytochrome P450, family 4, subfamily f, polypeptide 14",0.886200136,7.13756933,15.39311957,0.000334047,0.023342068
ENSMUSG00000005220,53419,Corin,"corin, serine peptidase",-2.465241951,0.467343895,15.04437219,0.000342978,0.023811514
ENSMUSG00000041959,20194,S100a10,S100 calcium binding protein A10 (calpactin),-0.60091159,7.423175332,14.94535547,0.000356681,0.024604134
ENSMUSG00000027712,11747,Anxa5,annexin A5,-1.143299606,6.683173312,15.38867555,0.000359114,0.024614202
ENSMUSG00000027890,14865,Gstm4,"glutathione S-transferase, mu 4",-0.543215908,5.190833671,14.88856512,0.000364799,0.024728553
ENSMUSG00000002831,57435,Plin4,perilipin 4,-1.107794749,4.946225602,15.23721708,0.000365379,0.024728553
ENSMUSG00000049723,17381,Mmp12,matrix metallopeptidase 12,-2.820933011,2.225625865,15.30132009,0.00037039,0.024911032
ENSMUSG00000022766,15160,Serpind1,"serine (or cysteine) peptidase inhibitor, clade D, member 1",0.360177717,8.459043166,14.8132806,0.000375861,0.024994761
ENSMUSG00000039323,16008,Igfbp2,insulin-like growth factor binding protein 2,1.240087234,6.561827674,15.31107053,0.00037628,0.024994761
ENSMUSG00000052562,319800,Slc22a30,"solute carrier family 22, member 30",0.722769556,6.201791691,14.86673599,0.000381838,0.025208312
ENSMUSG00000056671,77619,Prelid2,PRELI domain containing 2,-1.712598128,2.347914987,14.89508368,0.000387039,0.025249357
ENSMUSG00000075595,268469,Zfp652,zinc finger protein 652,0.467461898,4.777808752,14.73880232,0.000387152,0.025249357
ENSMUSG00000002059,19376,Rab34,"RAB34, member RAS oncogene family",-1.031371757,2.926088486,14.65329761,0.000400556,0.025951952
ENSMUSG00000044748,13214,Defb1,defensin beta 1,-1.096959057,3.547882718,14.68505942,0.000411364,0.025951952
ENSMUSG00000072294,16597,Klf12,Kruppel-like factor 12,0.656758705,4.727741945,14.58641092,0.000411381,0.025951952
ENSMUSG00000029674,16885,Limk1,"LIM-domain containing, protein kinase",-1.265069196,2.135244129,14.58567137,0.000411502,0.025951952
ENSMUSG00000024039,12411,Cbs,cystathionine beta-synthase,0.591043695,8.117034171,14.58219366,0.000412073,0.025951952
ENSMUSG00000078689,620807,Mup6,major urinary protein 6,1.134083797,4.282043025,14.85182671,0.000414703,0.025951952
ENSMUSG00000058523,17844,Mup5,major urinary protein 5,1.310945862,6.740882195,15.0798128,0.000414807,0.025951952
ENSMUSG00000022868,11625,Ahsg,alpha-2-HS-glycoprotein,0.467343466,12.94011006,14.47936404,0.000429349,0.026584621
ENSMUSG00000035133,11855,Arhgap5,Rho GTPase activating protein 5,0.372056932,6.535686194,14.47639091,0.00042986,0.026584621
ENSMUSG00000023057,14079,Fabp2,"fatty acid binding protein 2, intestinal",-0.548195698,7.471840606,14.43107113,0.000437724,0.026916281
ENSMUSG00000043079,104027,Synpo,synaptopodin,-1.319374418,2.978240199,14.46842676,0.000452977,0.027576547
ENSMUSG00000052151,50784,Plpp2,phospholipid phosphatase 2,-0.730153583,4.398255563,14.33844858,0.000454271,0.027576547
ENSMUSG00000002032,71687,Tmem25,transmembrane protein 25,0.632361117,4.633682773,14.32815518,0.00045615,0.027576547
ENSMUSG00000030681,78388,Mvp,major vault protein,-0.650843307,4.039916373,14.24398659,0.000471824,0.028364816
ENSMUSG00000010307,67893,Tmem86a,transmembrane protein 86A,-1.139339482,3.975010306,14.42078423,0.00048174,0.028800012
ENSMUSG00000033427,103149,Upb1,"ureidopropionase, beta",0.432005719,8.019020122,14.15573324,0.00048887,0.029064782
ENSMUSG00000024975,18569,Pdcd4,programmed cell death 4,0.491116881,7.085336208,14.11239588,0.000497476,0.029413931
ENSMUSG00000034947,217203,Tmem106a,transmembrane protein 106A,-0.589075922,3.618931487,14.08426995,0.000503146,0.029586641
ENSMUSG00000021102,73046,Glrx5,glutaredoxin 5,-0.381203214,7.457717656,14.02000581,0.000516359,0.030125342
ENSMUSG00000032207,15450,Lipc,"lipase, hepatic",0.569997575,6.292328846,14.01259407,0.000517906,0.030125342
ENSMUSG00000037411,18787,Serpine1,"serine (or cysteine) peptidase inhibitor, clade E, member 1",-1.667370103,2.06942804,14.036956,0.000526113,0.030438169
ENSMUSG00000040466,233016,Blvrb,biliverdin reductase B (flavin reductase (NADPH)),-0.415767974,7.266323418,13.90118683,0.000541759,0.031175752
ENSMUSG00000017418,75869,Arl5b,ADP-ribosylation factor-like 5B,0.620046816,4.078897534,13.87452857,0.000547636,0.0312552
ENSMUSG00000030541,269951,Idh2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",-0.556846112,6.996322544,13.83187295,0.00055718,0.0312552
ENSMUSG00000031451,14456,Gas6,growth arrest specific 6,-1.405152523,5.137931836,14.27786397,0.000558975,0.0312552
ENSMUSG00000063760,268291,Rnf217,ring finger protein 217,0.586006831,4.075793668,13.8143721,0.000561146,0.0312552
ENSMUSG00000051579,66684,Tceal8,transcription elongation factor A (SII)-like 8,-0.866971024,4.730350691,13.92806723,0.000563702,0.0312552
ENSMUSG00000051748,66107,Wfdc21,WAP four-disulfide core domain 21,0.69150336,9.83116567,13.81207611,0.000568034,0.0312552
ENSMUSG00000034584,320051,Exph5,exophilin 5,0.682955328,3.153153747,13.78202931,0.000568554,0.0312552
ENSMUSG00000037071,20249,Scd1,stearoyl-Coenzyme A desaturase 1,-1.205344864,12.1027008,14.14397831,0.000569069,0.0312552
ENSMUSG00000075254,77446,Heg1,heart development protein with EGF-like domains 1,-0.634355463,3.616677224,13.77888442,0.00056928,0.0312552
ENSMUSG00000041773,13803,Enc1,ectodermal-neural cortex 1,-0.988512585,4.050950289,13.8512721,0.00058468,0.031540833
ENSMUSG00000032808,13097,Cyp2c38,"cytochrome P450, family 2, subfamily c, polypeptide 38",-0.775428656,6.067848167,13.84303741,0.000589018,0.031540833
ENSMUSG00000041028,66092,Ghitm,growth hormone inducible transmembrane protein,-0.484829766,7.917466028,13.69158735,0.000589821,0.031540833
ENSMUSG00000027907,20195,S100a11,S100 calcium binding protein A11,-1.767055363,4.349886913,14.17019214,0.000591641,0.031540833
ENSMUSG00000021185,217830,Dglucy,D-glutamate cyclase,-0.481507401,5.166344408,13.67606922,0.000593553,0.031540833
ENSMUSG00000037797,26876,Adh4,"alcohol dehydrogenase 4 (class II), pi polypeptide",0.516835694,5.790333409,13.67033486,0.000594938,0.031540833
ENSMUSG00000029176,52206,Anapc4,anaphase promoting complex subunit 4,-0.623515486,3.841925259,13.67008282,0.000594999,0.031540833
ENSMUSG00000032431,56693,Crtap,cartilage associated protein,-1.025117508,2.575817114,13.58850111,0.000615085,0.032445739
ENSMUSG00000037780,17194,Mbl1,mannose-binding lectin (protein A) 1,0.386231209,7.129038282,13.48062354,0.000642746,0.033739483
