"","gene.id","entrez","symbol","gene.name","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000034341","ENSMUSG00000034341","22378","Wbp2","WW domain binding protein 2",-0.492261275002119,6.68762205441078,26.3054125091346,5.33857472093682e-06,0.00204578857758
"ENSMUSG00000039519","ENSMUSG00000039519","13123","Cyp7b1","cytochrome P450, family 7, subfamily b, polypeptide 1",1.44673278259389,5.931364481461,27.7701409379381,5.42760234868163e-06,0.00204578857758
"ENSMUSG00000012187","ENSMUSG00000012187","68393","Mogat1","monoacylglycerol O-acyltransferase 1",-2.08605201983716,2.54068490947657,26.0714853748781,5.77121334881519e-06,0.00209473669697737
"ENSMUSG00000023150","ENSMUSG00000023150","117198","Ivns1abp","influenza virus NS1A binding protein",-0.758589232886311,6.57228811113788,25.543231158636,6.88846787552133e-06,0.00241096375643247
"ENSMUSG00000067235","ENSMUSG00000067235","15007","H2-Q10","histocompatibility 2, Q region locus 10",-0.574216722321345,10.6949732741173,25.380215031876,7.27716975646303e-06,0.00242865138374702
"ENSMUSG00000030545","ENSMUSG00000030545","18631","Pex11a","peroxisomal biogenesis factor 11 alpha",-0.958808062153667,8.59635117317018,25.7140610165558,7.43464709310311e-06,0.00242865138374702
"ENSMUSG00000045934","ENSMUSG00000045934","194126","Mtmr11","myotubularin related protein 11",-3.39426441410779,2.03330964651381,25.7629556423666,7.93267546265492e-06,0.00246975755102847
"ENSMUSG00000021102","ENSMUSG00000021102","73046","Glrx5","glutaredoxin 5",-0.598891066414967,7.47760980377885,25.0513450204812,8.13271269834263e-06,0.00246975755102847
"ENSMUSG00000060548","ENSMUSG00000060548","29820","Tnfrsf19","tumor necrosis factor receptor superfamily, member 19",-1.46289024262804,3.25993448504665,24.9298826944194,8.47471012727835e-06,0.00246975755102847
"ENSMUSG00000039457","ENSMUSG00000039457","19041","Ppl","periplakin",-1.73813072788839,2.70527443353221,24.8974504288337,8.56854660560896e-06,0.00246975755102847
"ENSMUSG00000021226","ENSMUSG00000021226","171210","Acot2","acyl-CoA thioesterase 2",-1.67283394716884,5.09611384848427,25.9998665708381,9.61046356094949e-06,0.00263511256319453
"ENSMUSG00000032418","ENSMUSG00000032418","17436","Me1","malic enzyme 1, NADP(+)-dependent, cytosolic",-1.14032833873737,7.4542688168601,25.3963672552822,9.99548063973986e-06,0.00263511256319453
"ENSMUSG00000024665","ENSMUSG00000024665","56473","Fads2","fatty acid desaturase 2",-0.817135737374874,9.20594923095312,24.4009993796394,1.01486097247222e-05,0.00263511256319453
"ENSMUSG00000021094","ENSMUSG00000021094","66375","Dhrs7","dehydrogenase/reductase (SDR family) member 7",-0.753911562034349,5.25148158296018,24.3811509449719,1.02177834083053e-05,0.00263511256319453
"ENSMUSG00000040466","ENSMUSG00000040466","233016","Blvrb","biliverdin reductase B (flavin reductase (NADPH))",-0.6093393102167,7.28989413539139,24.3023562448587,1.04972869339845e-05,0.00263777979366789
"ENSMUSG00000023232","ENSMUSG00000023232","230779","Serinc2","serine incorporator 2",-1.20878571630712,4.03927416243041,23.9375179097494,1.18995488584421e-05,0.00291538947031831
"ENSMUSG00000027207","ENSMUSG00000027207","69976","Galk2","galactokinase 2",-1.27093441839291,3.16510155047,23.7834073993083,1.25494368043393e-05,0.0029996214800616
"ENSMUSG00000061292","ENSMUSG00000061292","100041449","Cyp3a59","cytochrome P450, family 3, subfamily a, polypeptide 59",-1.21146487271033,3.51181911950229,23.1925314596132,1.54057276915424e-05,0.00359466979469323
"ENSMUSG00000041028","ENSMUSG00000041028","66092","Ghitm","growth hormone inducible transmembrane protein",-0.694630900243118,7.92399886084335,23.056797647248,1.61531302989436e-05,0.00364931195957964
"ENSMUSG00000020458","ENSMUSG00000020458","68585","Rtn4","reticulon 4",-0.86690464705353,6.47822511409988,23.0523160444925,1.63846659409698e-05,0.00364931195957964
"ENSMUSG00000039428","ENSMUSG00000039428","72759","Tmem135","transmembrane protein 135",-0.595688002868555,6.04658665082388,22.8072503902237,1.76277872616394e-05,0.00383894033697925
"ENSMUSG00000041698","ENSMUSG00000041698","28248","Slco1a1","solute carrier organic anion transporter family, member 1a1",2.77345121921395,6.93858386950018,24.5170353163874,1.80713592282817e-05,0.0038499852268948
"ENSMUSG00000022181","ENSMUSG00000022181","12274","C6","complement component 6",0.960712582425285,6.81950390909991,22.9895649256785,1.91092025895963e-05,0.00398447202932008
"ENSMUSG00000006641","ENSMUSG00000006641","330064","Slc5a6","solute carrier family 5 (sodium-dependent vitamin transporter), member 6",-1.21026559168864,4.18652878228113,22.621142512435,1.95677677373792e-05,0.00399508591304826
"ENSMUSG00000064294","ENSMUSG00000064294","71724","Aox3","aldehyde oxidase 3",0.595609123139788,7.60741725921711,22.4075880293712,2.02896814051356e-05,0.00405793628102712
"ENSMUSG00000028199","ENSMUSG00000028199","12972","Cryz","crystallin, zeta",-0.608375908360353,6.44024961274988,21.9791191934989,2.36150298565603e-05,0.00462854585188581
"ENSMUSG00000028961","ENSMUSG00000028961","110208","Pgd","phosphogluconate dehydrogenase",-1.05071576177916,5.00835448982581,21.9319092467063,2.52688428825102e-05,0.00480510724456501
"ENSMUSG00000078683","ENSMUSG00000078683","17840","Mup1","major urinary protein 1",1.97488177993415,12.3310521428237,23.3394807849044,2.54964874201409e-05,0.00480510724456501
"ENSMUSG00000078687","ENSMUSG00000078687","100041687","Mup8","major urinary protein 8",1.93913906157115,12.2577389488179,23.1202725744248,2.73032081031308e-05,0.00502659605324245
"ENSMUSG00000073842","ENSMUSG00000073842","100041658","Mup7","major urinary protein 7",2.50735423185359,12.6178959311167,23.12790471516,2.76975700892951e-05,0.00502659605324245
"ENSMUSG00000021185","ENSMUSG00000021185","217830","Dglucy","D-glutamate cyclase",-0.786970119826349,5.21154630343679,21.3501120283034,2.95650884532354e-05,0.0052030283580559
"ENSMUSG00000062181","ENSMUSG00000062181","13909","Ces3b","carboxylesterase 3B",1.25474579190641,8.4531140171698,22.4821552791135,2.99303647914308e-05,0.0052030283580559
"ENSMUSG00000034528","ENSMUSG00000034528","243168","Hsd17b13","hydroxysteroid (17-beta) dehydrogenase 13",-0.874787150608599,8.7438539533489,21.560115869427,3.02625118784884e-05,0.0052030283580559
"ENSMUSG00000032479","ENSMUSG00000032479","17758","Map4","microtubule-associated protein 4",-0.822667919055901,4.19539550663287,21.1643866782124,3.16071851763909e-05,0.00534052439187295
"ENSMUSG00000079015","ENSMUSG00000079015","20702","Serpina1c","serine (or cysteine) peptidase inhibitor, clade A, member 1C",0.698667855776377,12.9020579095079,21.1057463142925,3.22821616706817e-05,0.00536212176902849
"ENSMUSG00000063590","ENSMUSG00000063590","434674","Slc22a28","solute carrier family 22, member 28",1.38955732097237,3.16415807533492,21.0001338462673,3.35360927666341e-05,0.00547756181855024
"ENSMUSG00000031703","ENSMUSG00000031703","71927","Itfg1","integrin alpha FG-GAP repeat containing 1",-0.552750358060748,5.04909420442603,20.7855855567608,3.62427879647777e-05,0.00565094238365895
"ENSMUSG00000035441","ENSMUSG00000035441","338367","Myo1d","myosin ID",-0.990608337246248,3.53007221557059,20.7412151074126,3.68305188604171e-05,0.00565094238365895
"ENSMUSG00000091867","ENSMUSG00000091867","233005","Cyp2a22","cytochrome P450, family 2, subfamily a, polypeptide 22",-1.79078987809214,3.67264166169015,21.5396902466603,3.69929900430415e-05,0.00565094238365895
"ENSMUSG00000030513","ENSMUSG00000030513","18553","Pcsk6","proprotein convertase subtilisin/kexin type 6",-0.67809240025378,6.97967043882468,20.6909189565202,3.75088105012842e-05,0.00565094238365895
"ENSMUSG00000022450","ENSMUSG00000022450","67130","Ndufa6","NADH:ubiquinone oxidoreductase subunit A6",-0.38590007523279,8.5146914172552,20.6721132080694,3.77657676213108e-05,0.00565094238365895
"ENSMUSG00000027890","ENSMUSG00000027890","14865","Gstm4","glutathione S-transferase, mu 4",-0.741019278650156,5.27433863909377,20.650933500575,3.80573670736215e-05,0.00565094238365895
"ENSMUSG00000023829","ENSMUSG00000023829","20517","Slc22a1","solute carrier family 22 (organic cation transporter), member 1",-0.496511551953194,7.69492982976243,20.5846416883586,3.89853768399422e-05,0.00567785505113705
"ENSMUSG00000022871","ENSMUSG00000022871","59083","Fetub","fetuin beta",0.58120930106423,7.56114080187842,20.5189131346011,3.99288866390524e-05,0.00567785505113705
"ENSMUSG00000054733","ENSMUSG00000054733","110265","Msra","methionine sulfoxide reductase A",-0.530706935643346,7.17931303910156,20.5025652025701,4.01672429199219e-05,0.00567785505113705
"ENSMUSG00000086040","ENSMUSG00000086040","330319","Wipf3","WAS/WASL interacting protein family, member 3",-0.749140932164875,5.60852490920138,20.4761110080314,4.05561075081218e-05,0.00567785505113705
"ENSMUSG00000027984","ENSMUSG00000027984","15107","Hadh","hydroxyacyl-Coenzyme A dehydrogenase",-0.644487957533048,9.06739451341275,20.4165805310544,4.14456447439225e-05,0.00572066645761183
"ENSMUSG00000053329","ENSMUSG00000053329","28295","Gatd3a","glutamine amidotransferase like class 1 domain containing 3A",-0.541747316382119,6.83121449250059,20.3178722450599,4.2965839975634e-05,0.00584812821890574
"ENSMUSG00000031838","ENSMUSG00000031838","65972","Ifi30","interferon gamma inducible protein 30",-1.07292388638014,5.01820497499889,20.525373842797,4.36545411409409e-05,0.00586047264631809
"ENSMUSG00000059326","ENSMUSG00000059326","12982","Csf2ra","colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",-1.60579006566061,2.80718290570973,20.2103518604054,4.46882878800583e-05,0.00591817866519691
"ENSMUSG00000021868","ENSMUSG00000021868","105675","Ppif","peptidylprolyl isomerase F (cyclophilin F)",-0.865869241315905,4.7977007223109,20.1441402882359,4.57847707991438e-05,0.00598254338442145
"ENSMUSG00000023456","ENSMUSG00000023456","21991","Tpi1","triosephosphate isomerase 1",-0.555547586416458,7.04862530611584,20.0078798726903,4.81307499625252e-05,0.00613175526076571
"ENSMUSG00000017167","ENSMUSG00000017167","53321","Cntnap1","contactin associated protein-like 1",-2.2665973287125,1.77409579357915,20.005202988678,4.81780770488735e-05,0.00613175526076571
"ENSMUSG00000031906","ENSMUSG00000031906","58994","Smpd3","sphingomyelin phosphodiesterase 3, neutral",-2.58611990742931,1.79992150171999,19.9796373925305,4.91628443520874e-05,0.00617687018782637
"ENSMUSG00000028648","ENSMUSG00000028648","595136","Ndufs5","NADH:ubiquinone oxidoreductase core subunit S5",-0.529287881328419,6.55516670111859,19.8392599327071,5.12090742009613e-05,0.00629282610776674
"ENSMUSG00000032802","ENSMUSG00000032802","76650","Srxn1","sulfiredoxin 1 homolog (S. cerevisiae)",-0.969272843869837,5.55756834366147,20.0384237251191,5.14406078483541e-05,0.00629282610776674
"ENSMUSG00000030278","ENSMUSG00000030278","14311","Cidec","cell death-inducing DFFA-like effector c",-2.52273264849902,4.91192976941704,21.1168790368785,5.24405028344162e-05,0.00629282610776674
"ENSMUSG00000040997","ENSMUSG00000040997","105501","Abhd4","abhydrolase domain containing 4",-0.843608336510737,5.23218460848966,19.7637205053676,5.26542592690686e-05,0.00629282610776674
"ENSMUSG00000032808","ENSMUSG00000032808","13097","Cyp2c38","cytochrome P450, family 2, subfamily c, polypeptide 38",-0.948718750847845,6.07698464363129,20.0072712990399,5.40295370814721e-05,0.00637939112528225
"ENSMUSG00000078673","ENSMUSG00000078673","100048885","Gm2083","major urinary protein LOC100048885",1.80920800147439,12.6615432593131,20.8618572273661,5.62789474261043e-05,0.00654420862842723
"ENSMUSG00000059060","ENSMUSG00000059060","19363","Rad51b","RAD51 paralog B",-2.56861713587961,3.95196544892161,20.8193988936328,5.67609932057464e-05,0.00654420862842723
"ENSMUSG00000017774","ENSMUSG00000017774","17913","Myo1c","myosin IC",-0.926464121909789,4.16562264658081,19.5031614373295,5.79752724479216e-05,0.00660648453476316
"ENSMUSG00000096674","ENSMUSG00000096674","100039150","Mup15","major urinary protein 15",2.40595429365669,12.5209101360286,20.7919949214731,5.87275074697074e-05,0.00661528245061072
"ENSMUSG00000022856","ENSMUSG00000022856","66664","Tmem41a","transmembrane protein 41a",-0.961692261559559,3.90233284609679,19.4356544134402,5.94436140116657e-05,0.00661647038017553
"ENSMUSG00000025785","ENSMUSG00000025785","66446","Exosc7","exosome component 7",-0.735528465713393,4.79268162040695,19.4065617145684,6.00883534526145e-05,0.00661647038017553
"ENSMUSG00000078597","ENSMUSG00000078597","13118","Cyp4a12b","cytochrome P450, family 4, subfamily a, polypeptide 12B",1.25520272585317,5.89575279891708,20.1284867684194,6.13259228834816e-05,0.006677711602868
"ENSMUSG00000021591","ENSMUSG00000021591","93692","Glrx","glutaredoxin",-0.70943525623509,4.85647841071881,19.2638832501085,6.33579370860407e-05,0.00682316245541977
"ENSMUSG00000031700","ENSMUSG00000031700","108682","Gpt2","glutamic pyruvate transaminase (alanine aminotransferase) 2",-0.704685881089403,8.32061269727882,19.2117380099386,6.45988629238864e-05,0.00688118322450095
"ENSMUSG00000031489","ENSMUSG00000031489","11556","Adrb3","adrenergic receptor, beta 3",1.35167689873828,2.77040241753102,19.0787304387344,6.78806281580486e-05,0.00705021473445322
"ENSMUSG00000051579","ENSMUSG00000051579","66684","Tceal8","transcription elongation factor A (SII)-like 8",-1.10246937276747,4.73991226163626,19.326690558548,6.82920600907225e-05,0.00705021473445322
"ENSMUSG00000029161","ENSMUSG00000029161","68567","Cgref1","cell growth regulator with EF hand domain 1",-2.26760556142337,2.04472660643361,19.0185935912198,6.94212330102559e-05,0.00705021473445322
"ENSMUSG00000026249","ENSMUSG00000026249","20720","Serpine2","serine (or cysteine) peptidase inhibitor, clade E, member 2",1.2054877016959,3.97038039848245,19.1570525770179,6.98458057324299e-05,0.00705021473445322
"ENSMUSG00000004207","ENSMUSG00000004207","19156","Psap","prosaposin",-0.711993313721837,8.98265852973878,18.9971106727647,6.99804193430629e-05,0.00705021473445322
"ENSMUSG00000061175","ENSMUSG00000061175","329679","Fnip2","folliculin interacting protein 2",-0.846408875123055,4.37892804843094,18.9772281641125,7.05021473445322e-05,0.00705021473445322
"ENSMUSG00000042978","ENSMUSG00000042978","104175","Sbk1","SH3-binding kinase 1",-0.904939029256199,3.90494177660038,18.9168954553831,7.21103661748305e-05,0.0070695438759474
"ENSMUSG00000034371","ENSMUSG00000034371","225913","Tkfc","triokinase, FMN cyclase",-0.632710547652685,7.63849788160667,18.9158635920801,7.21382028157898e-05,0.0070695438759474
"ENSMUSG00000006800","ENSMUSG00000006800","72043","Sulf2","sulfatase 2",-0.937064136899953,4.3031855975367,18.8755302937609,7.32351321146565e-05,0.00710598311607558
"ENSMUSG00000010663","ENSMUSG00000010663","76267","Fads1","fatty acid desaturase 1",-0.63794038503309,9.06088410854838,18.8045216709769,7.52089404474015e-05,0.0072259570233778
"ENSMUSG00000031298","ENSMUSG00000031298","237175","Adgrg2","adhesion G protein-coupled receptor G2",-1.73034038412083,2.05488542562297,18.6954654071714,7.83494335714937e-05,0.0073496161131812
"ENSMUSG00000040234","ENSMUSG00000040234","67623","Tm7sf3","transmembrane 7 superfamily member 3",-0.693971942756764,6.26656075550116,18.6910088216726,7.84806516255423e-05,0.0073496161131812
"ENSMUSG00000032420","ENSMUSG00000032420","23959","Nt5e","5' nucleotidase, ecto",-1.66000467546315,2.50280879326522,18.6770035742407,7.88945156969042e-05,0.0073496161131812
"ENSMUSG00000070730","ENSMUSG00000070730","67809","Rmdn3","regulator of microtubule dynamics 3",-0.57183352457322,6.50478065512812,18.6264059326743,8.04088360737684e-05,0.0073496161131812
"ENSMUSG00000041959","ENSMUSG00000041959","20194","S100a10","S100 calcium binding protein A10 (calpactin)",-0.793631168297021,7.43844640726227,18.7591909884775,8.05227705951162e-05,0.0073496161131812
"ENSMUSG00000039601","ENSMUSG00000039601","53901","Rcan2","regulator of calcineurin 2",-1.2681881474793,3.15844152992886,18.5838652268569,8.1705551322243e-05,0.0073496161131812
"ENSMUSG00000051483","ENSMUSG00000051483","12408","Cbr1","carbonyl reductase 1",-0.854805377907919,5.97073652244553,18.69521129532,8.1745730238444e-05,0.0073496161131812
"ENSMUSG00000007036","ENSMUSG00000007036","193742","Abhd16a","abhydrolase domain containing 16A",-0.716985684368178,5.2770098861935,18.5249539786794,8.35375079646692e-05,0.00744243252776144
"ENSMUSG00000031521","ENSMUSG00000031521","11593","Aga","aspartylglucosaminidase",-0.772244496296504,4.93454439415437,18.493657996349,8.45281478053073e-05,0.00746284548191001
"ENSMUSG00000036427","ENSMUSG00000036427","14751","Gpi1","glucose phosphate isomerase 1",-0.751913432724659,6.47627459482989,18.3870370957236,8.79964061157888e-05,0.00769623129643545
"ENSMUSG00000042195","ENSMUSG00000042195","72022","Slc35f2","solute carrier family 35, member F2",-1.83270460985809,2.03809591723358,18.351985706967,8.91688512303382e-05,0.00769623129643545
"ENSMUSG00000021208","ENSMUSG00000021208","217845","Ifi27l2b","interferon, alpha-inducible protein 27 like 2B",-2.08265679253074,4.33454530162956,19.4165961496795,8.95275885503716e-05,0.00769623129643545
"ENSMUSG00000032388","ENSMUSG00000032388","27965","Spg21","SPG21, maspardin",-0.660454578896878,4.86947802596299,18.2525107872573,9.25860964215367e-05,0.00772587974955114
"ENSMUSG00000047126","ENSMUSG00000047126","67300","Cltc","clathrin, heavy polypeptide (Hc)",-0.505716908727268,6.96915551584719,18.2490732668066,9.27066065103578e-05,0.00772587974955114
"ENSMUSG00000056035","ENSMUSG00000056035","13112","Cyp3a11","cytochrome P450, family 3, subfamily a, polypeptide 11",-1.81635290092434,8.9238248610934,19.3838747632506,9.32793666130373e-05,0.00772587974955114
"ENSMUSG00000031886","ENSMUSG00000031886","234673","Ces2e","carboxylesterase 2E",-0.567972263711446,7.53225358995623,18.2189353062742,9.37702156441237e-05,0.00772587974955114
"ENSMUSG00000029310","ENSMUSG00000029310","74167","Nudt9","nudix (nucleoside diphosphate linked moiety X)-type motif 9",-0.801761663143363,4.8220819725145,18.2148758989836,9.39144504179164e-05,0.00772587974955114
"ENSMUSG00000055782","ENSMUSG00000055782","26874","Abcd2","ATP-binding cassette, sub-family D (ALD), member 2",-0.806514206057846,4.7093352207775,18.1955974496342,9.46026091781772e-05,0.00772587974955114
"ENSMUSG00000064373","ENSMUSG00000064373","20363","Selenop","selenoprotein P",-0.541592659704704,11.8571779289452,18.1444905482477,9.64525665496367e-05,0.00781186076187141
"ENSMUSG00000061232","ENSMUSG00000061232","14972","H2-K1","histocompatibility 2, K1, K region",-0.455848778029135,10.1212353675524,18.1179316946482,9.74288500827752e-05,0.00782625189189506
"ENSMUSG00000028307","ENSMUSG00000028307","230163","Aldob","aldolase B, fructose-bisphosphate",-0.613279651487219,11.6424612155187,18.0805523550745,9.88204406940711e-05,0.00787349852684469
"ENSMUSG00000063558","ENSMUSG00000063558","11761","Aox1","aldehyde oxidase 1",-0.687705563032496,5.75250511595415,18.0260376954202,0.000100887363568777,0.00797335615301628
"ENSMUSG00000010025","ENSMUSG00000010025","11671","Aldh3a2","aldehyde dehydrogenase family 3, subfamily A2",-0.925517204111208,8.20268855441483,18.4567437716621,0.00010249449352582,0.00803556829242425
"ENSMUSG00000039361","ENSMUSG00000039361","233489","Picalm","phosphatidylinositol binding clathrin assembly protein",-0.570382978495808,6.29022836840054,17.912020349884,0.000105357965074501,0.00819450839468343
"ENSMUSG00000026688","ENSMUSG00000026688","66447","Mgst3","microsomal glutathione S-transferase 3",-1.53382429193504,4.02409496859958,18.4868223981628,0.000108642980908021,0.00830015998877284
"ENSMUSG00000054428","ENSMUSG00000054428","11983","Atpif1","ATPase inhibitory factor 1",-0.706137482489772,5.3985078186507,17.8302168367984,0.000108692894775442,0.00830015998877284
"ENSMUSG00000039016","ENSMUSG00000039016","30057","Timm8b","translocase of inner mitochondrial membrane 8B",-0.566020635330046,6.30570550917541,17.7861858791102,0.000110533493804264,0.00830015998877284
"ENSMUSG00000035357","ENSMUSG00000035357","55983","Pdzrn3","PDZ domain containing RING finger 3",-1.03281578467381,3.00361337088642,17.7857558902496,0.000110551628359285,0.00830015998877284
"ENSMUSG00000021814","ENSMUSG00000021814","11750","Anxa7","annexin A7",-0.61741700915467,5.65067624347726,17.7680031121473,0.000111303067401875,0.00830015998877284
"ENSMUSG00000003849","ENSMUSG00000003849","18104","Nqo1","NAD(P)H dehydrogenase, quinone 1",-1.54011776672057,2.40280948379117,17.7282853120026,0.000113003666375458,0.00830015998877284
"ENSMUSG00000044748","ENSMUSG00000044748","13214","Defb1","defensin beta 1",-1.23025104346868,3.63933971709595,17.7519458849298,0.000113305380608346,0.00830015998877284
"ENSMUSG00000021932","ENSMUSG00000021932","67153","Rnaseh2b","ribonuclease H2, subunit B",-1.01677999136664,3.17445844349039,17.7169961251071,0.000113491983519955,0.00830015998877284
"ENSMUSG00000026542","ENSMUSG00000026542","20219","Apcs","serum amyloid P-component",-0.730401221150851,5.97785869723048,17.6500318656569,0.000116434313006771,0.0084522686478989
"ENSMUSG00000078686","ENSMUSG00000078686","100038948","Mup9","major urinary protein 9",1.91378665207291,12.0470223661054,18.6459264511414,0.000120013855241295,0.00864805721591688
"ENSMUSG00000067924","ENSMUSG00000067924","553127","Rtl8b","retrotransposon Gag like 8B",-0.872105594533906,4.36159184019463,17.5459726971165,0.000121166010285401,0.0086673496408535
"ENSMUSG00000039246","ENSMUSG00000039246","226791","Lyplal1","lysophospholipase-like 1",-0.839540736089227,4.10722854101064,17.5081384572423,0.000122935904097634,0.00873023087070155
"ENSMUSG00000094793","ENSMUSG00000094793","100039054","Mup12","major urinary protein 12",2.4287098915582,10.7291293723606,18.5201352612887,0.000126279978177525,0.00889708559996657
"ENSMUSG00000026766","ENSMUSG00000026766","109129","Mmadhc","methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria",-0.560239753444689,6.12499468603318,17.4213025162081,0.000127101222856665,0.00889708559996657
"ENSMUSG00000069456","ENSMUSG00000069456","19683","Rdh16","retinol dehydrogenase 16",-0.72974434713783,7.05801819495687,17.4294523364701,0.00012815384031172,0.00890714634790678
"ENSMUSG00000073830","ENSMUSG00000073830","100039116","Mup14","major urinary protein 14",1.24575506799534,13.5132849768879,18.1551846582206,0.000129693639270106,0.00894361530434282
"ENSMUSG00000031877","ENSMUSG00000031877","72361","Ces2g","carboxylesterase 2G",-0.756799970276868,4.93027892863164,17.3498818740369,0.000130637764200816,0.00894361530434282
"ENSMUSG00000056131","ENSMUSG00000056131","109785","Pgm3","phosphoglucomutase 3",-0.876766925567636,3.66516162732992,17.3344294635777,0.000131416388145445,0.00894361530434282
"ENSMUSG00000024694","ENSMUSG00000024694","64697","Keg1","kidney expressed gene 1",0.767067996945567,5.99197797291402,17.2618419160459,0.000135603660702364,0.00916493706815981
"ENSMUSG00000032193","ENSMUSG00000032193","16835","Ldlr","low density lipoprotein receptor",-0.638848658431119,7.59760563255148,17.2197249042861,0.000137350245836676,0.00921940006300976
